# Table of globular clusters and dwarf spheroidals structural parameters from Vitral 2021 (Table C1). 
# If you use this table, please acknowledge our work (see 'Attribution'): https://gitlab.com/eduardo-vitral/balrogo#attribution 
# All the information of this table is derived in Vitral 2021, apart from the distances, which were taken from Baumgardt et al. 2019. 
# - - DEGREES DEGREES KPC MASYR MASYR MASYR MASYR - ARCMIN ARCMIN 
# ID OTHER_ID RA DEC D PMRA PMDEC ERR_PMRA ERR_PMDEC SD_MODEL RH ERR_RH 
NGC104          47Tuc                   6.02242       -72.08147   4.43    5.249   -2.568    0.003    0.003   S       7.84   0.02
NGC1261         Blank                  48.06694       -55.21592  17.20    1.614   -2.052    0.009    0.009   P       1.38   0.01
NGC1851         Blank                  78.52821       -40.04675  11.33    2.146   -0.655    0.005    0.005   P       2.08   0.01
NGC1904         M79                    81.00382       -24.53301  13.27    2.475   -1.599    0.007    0.007   S       2.71   0.02
NGC2298         Blank                 102.24756       -36.00532  10.80    3.312   -2.169    0.008    0.008   S       1.18   0.02
NGC2419         Blank                 114.53541        38.88193  83.18   -0.018   -0.567    0.017    0.016   S       0.91   0.02
NGC2808         Blank                 138.01293       -64.86349  10.21    0.998    0.277    0.005    0.005   S       3.11   0.01
NGC288          Blank                  13.18819       -26.58238   9.00    4.154   -5.700    0.005    0.005   S       2.57   0.02
NGC3201         Blank                 154.40393       -46.41249   4.60    8.348   -1.966    0.002    0.002   S       4.50   0.03
NGC362          Blank                  15.80943       -70.84885   9.17    6.680   -2.545    0.011    0.011   S       2.49   0.01
NGC4147         Blank                 182.51853        18.54192  18.20   -1.698   -2.122    0.014    0.014   P       0.86   0.02
NGC4372         Blank                 186.43919       -72.65907   5.76   -6.409    3.307    0.005    0.005   S       4.00   0.03
NGC4590         M68                   189.86660       -26.74405  10.13   -2.746    1.777    0.006    0.006   P       2.11   0.02
NGC4833         Blank                 194.89122       -70.87650   6.56   -8.378   -0.959    0.006    0.006   S       2.48   0.02
NGC5024         M53                   198.23025        18.16819  17.90   -0.229   -1.274    0.008    0.008   S       2.47   0.02
NGC5053         Blank                 199.11287        17.69872  17.20   -0.325   -1.209    0.011    0.011   S       2.29   0.03
NGC5139         omegaCen              201.69698       -47.47950   5.24   -3.252   -6.756    0.003    0.003   S      11.25   0.03
NGC5272         M3                    205.54873        28.37727   9.59   -0.151   -2.667    0.004    0.004   P       3.85   0.02
